VehicleId,LoadCap,FuelCap,RouteSequence,Municipalities,DemandSatisfied,InitLoad,InitFuel,RefuelStops,RefuelAmounts,Distance,Time,FuelCost,TotalCost
VEH01,80,1290,PTO01 -EST01 -MUN14 -MUN05 -MUN07 -MUN02 -EST04 -PTO01,MUN14-MUN05-MUN07-MUN02,4,73,1290,2,0-0,2238.8,3358.1,2870,12763830
VEH02,60,1132,PTO01 -EST05 -MUN10 -MUN15 -MUN13 -MUN11 -MUN12 -MUN08 -EST01 -PTO01,MUN10-MUN15-MUN13-MUN11-MUN12-MUN08,6,59,1132,2,0-0,1940.4,2910.5,2830,11062834
VEH03,50,975,PTO01 -EST12 -MUN06 -MUN03 -EST01 -PTO01,MUN06-MUN03,2,40,975,2,0-0,1359.4,2039.1,2840,7751332
VEH04,40,825,PTO01 -EST01 -MUN09 -MUN04 -EST09 -PTO01,MUN09-MUN04,2,32,825,2,0-0,1897.2,2845.8,2970,10816965
