VehicleId,LoadCapacity,FuelCapacity,RouteSequence,Municipalities,DemandSatisfied,InitLoad,InitFuel,RefuelStops,RefuelAmounts,Distance,Time,FuelCost,TotalCost
1,80.0,1720,EST01-EST09-EST06-EST07-EST10-EST05-EST11-EST01,6,0-10.0-15.0-17.0-11.0-18.0-9.0-0,0,1376.0,3,610.7-1134.2-429.8,2174.7,36.2,31607086,31617960
2,60.0,1510,EST01-MUN14-EST08-EST04-EST12-EST01,4,0-8.0-12.0-22.0-10.0-0,0,1208.0,2,383.8-1023.4,1407.1,23.5,20429064,20436100
3,50.0,1300,EST01-MUN15-EST02-EST01,2,0-10.0-30.0-0,0,1040.0,1,320.0,320.0,5.3,4319792,4321392
4,40.0,1100,EST01-EST03-EST01,1,0-25.0-0,0,880.0,1,144.2,144.2,2.4,1946304,1947025
5,30.0,870,EST01-MUN13-EST01,1,0-7.0-0,0,696.0,1,132.9,132.9,2.2,1794193,1794857
