VehicleId,LoadCap,FuelCap,RouteSequence,Municipalities,DemandSatisfied,ω→ InitialLoad,InitialFuel,Distance,Time,TotalCost
1,130,170,PTO01 -MUN04 -PTO01,1,0,130,170,12.76,11.1,862037.5
2,140,200,PTO01 -MUN13 -PTO01,1,0,140,200,11.88,10.34,862037.5
3,120,180,PTO01 -MUN15 -PTO01,1,0,120,180,8.01,6.97,862037.5
4,100,90,PTO01 -MUN24 -PTO01,1,0,100,90,8.62,7.5,862037.5
5,70,100,PTO01 -MUN03 -PTO01,1,0,70,100,21.24,18.48,862037.5
6,55,170,PTO01 -MUN07 -PTO01,1,0,55,170,19.46,16.93,862037.5
7,110,150,PTO01 -MUN19 -PTO01,1,0,110,150,20.38,17.73,862037.5
8,114,140,PTO01 -MUN21 -PTO01,1,0,114,140,7.06,6.14,862037.5
